"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Bin.7.22"," 0.558298753"," 0.106562917","-0.476228718","-0.510248464"," 0.627326044","-0.292873851"," 0.422947544"," 0.137094548"," 0.309763408"," 0.366684041","-0.556586687"," 0.999333639","-0.231290709"," 0.098469312"," 0.013239534"," 0.480623174","-0.236017355"," 0.274312071"," 0.306873990"," 0.059324929"," 0.288770864","-0.521333454","-0.264059137"," 0.320821468"," 0.058763174"," 0.005449847","-0.300673116"," 0.088547624"," 0.177403768"," 0.789735629"," 0.270780492","-0.373170716","-0.177981064","-0.235450516"," 0.437548784"," 0.144349968","-0.255392730"," 0.054289622","-0.204608191","-0.797469745"," 0.393276418","-0.452132649","-0.071018376","-0.610883333","-0.486888221"," 0.155317777"," 0.526574841","-0.780434424","-0.481408658","-0.156334068"
"Bin.7.18","-0.050182586"," 0.244983329","-0.280641234","-0.412963016"," 0.306544554","-0.363549204","-0.118597968","-0.312988231"," 0.988260438"," 0.071369438","-0.630525645"," 0.330818090","-0.374184828"," 0.224433869","-0.075692536"," 0.207696619","-0.060142041","-0.253111921"," 0.228752304","-0.291248397"," 0.994903116","-0.317512859","-0.236223271"," 0.147279397"," 1.039669221","-0.389899424"," 0.034107747","-0.265789910","-0.002363204"," 0.427057955","-0.499921501"," 0.143411814"," 0.032372727","-0.114101293"," 0.090213105"," 0.323461038","-0.135536073"," 0.652535735"," 0.266826826"," 0.022305932"," 0.046723918","-0.630175338","-0.023011219","-0.390168526","-0.101915582"," 0.566066464"," 0.060393672","-0.690771444","-0.204480452","-0.224489609"
"Bin.7.14"," 0.24943694"," 0.49901741"," 0.38890984","-0.07887025"," 0.79903909","-0.44798429","-0.52293224","-0.43059030"," 0.50381703"," 0.15524366","-0.63024482"," 0.23302614"," 0.75891762"," 1.10190725","-0.03801825","-0.20816429"," 0.05079807","-0.42935363"," 0.06774270","-0.43599429"," 0.11514288"," 0.55443537","-0.68460299","-0.32033106"," 0.74827340","-0.37296672"," 0.33340713","-0.27299773"," 0.03287353"," 0.20969872","-0.71959753"," 1.31533847","-0.07671652","-0.10929535"," 0.13997699","-0.05933134","-0.13365271","-0.04032708","-0.14476086"," 0.03223838","-0.31525413","-0.84962654"," 0.42904222","-0.27382873"," 0.18023155"," 0.16013232","-0.04797291","-1.16673922"," 0.10891693","-0.35740986"
"Bin.7.10","-0.27622504","-1.07165697"," 0.28206191"," 0.28001128"," 0.03216009"," 0.32642472"," 0.54639236"," 0.25124692","-1.08633276"," 0.45124360"," 0.25638347","-0.16468704","-0.36802561"," 0.61739174","-0.38401348"," 0.66158569","-0.27256635"," 1.05871216","-0.91922269"," 0.71204958","-0.73045844","-0.84384235"," 0.37557619"," 0.43344885","-0.46933896"," 0.20398331"," 0.17002112","-0.11767961","-0.16945936","-0.15658053","-0.57698150","-0.13347419"," 0.07025122"," 0.26285150","-0.30375831"," 0.61346678","-0.01423999"," 0.27333717","-0.01232804"," 0.78382217","-0.31635833","-0.83331457"," 0.58061799"," 0.18370052","-0.05143846"," 0.09155643","-0.05846036","-0.54316211"," 0.61167021","-0.25636195"
"Bin.7.06"," 0.064725987","-0.169842727","-0.001317009","-0.582561255"," 0.436674150","-0.301595811","-0.462336625","-0.267757945","-0.189512052","-0.406211689","-0.116740049"," 0.500292645","-0.587692189","-0.129304621","-0.359587572"," 0.375148037"," 0.203249284"," 0.173951522","-0.183552295","-0.833392489","-0.034485084","-0.310362620","-0.688649515","-0.229642193","-0.324491305"," 0.099518001","-0.107036155"," 0.212725800","-0.083728955"," 0.608411733"," 0.684820800","-0.238042208"," 1.005251330"," 0.362681801"," 0.195766178"," 0.611488961"," 0.565833170"," 0.287329115"," 0.081607965","-0.270349385","-0.008548582","-0.427745932"," 0.752968564","-0.459133879"," 0.061839919"," 0.234568595"," 0.725724403","-0.458557395"," 0.580565299","-0.592965720"
"Bin.7.02"," 0.30369682","-0.35004452"," 0.17085157","-0.02372556"," 0.14876141","-0.08736508","-0.05355052","-0.18763826","-0.70412838"," 0.26745734","-0.32965163"," 0.13413323","-0.63824619","-0.01321671","-0.77367987"," 0.33378901","-0.41474746","-0.06497201","-0.80454245","-0.12016364","-0.38468370","-0.59505790","-0.14183020","-0.06644378","-0.28336835"," 0.18979788"," 0.20484492"," 0.62627103"," 0.34225486"," 0.70042414"," 0.92416021"," 0.07900006"," 0.22156982"," 0.32301067","-0.19742780"," 0.25314579"," 0.28967296"," 0.33710763"," 0.31294817"," 0.07419998"," 0.08212587","-0.44948314"," 0.69747993","-0.09825141"," 0.13221331"," 0.26999906"," 0.16718736","-0.96170369"," 0.34314913","-0.18532994"
"Bin.6.98"," 0.43460491","-0.29595829"," 0.52445503","-0.02539548"," 0.51859745"," 0.17315577","-0.63351986"," 0.64739769"," 0.09672444"," 0.04175203","-0.76486778"," 0.56635570","-0.53216821"," 0.86596982","-0.05436270"," 0.08861184"," 0.47176415"," 0.01757256","-0.26393266","-0.46058463","-0.21451540","-0.26783950","-0.45234560","-0.24561638","-0.01235911","-0.16817297"," 0.13424384"," 0.06442554","-0.17567535"," 0.57785331"," 0.59245214"," 0.45484542","-0.21960457"," 0.21998960","-0.18150997","-0.10909836","-0.20977177","-0.24762884"," 0.60488549"," 0.08411619","-0.23842783"," 0.98972116"," 0.53690668","-0.35693133","-0.14229281","-0.18172510","-0.18096110","-1.84341944","-0.00336296","-0.22435274"
"Bin.6.94"," 0.2860250887","-0.0373164636"," 0.3060442210"," 0.1277143904"," 0.5726470427"," 0.1211346808","-0.1386785959"," 0.1561533196"," 0.1119896790"," 0.1157495931","-0.2498480998"," 0.4124607085","-0.0482410267"," 0.4958574258"," 0.1072855425"," 0.2640406721"," 0.2881791149"," 0.1773922898","-0.1638040002","-0.0446278413","-0.0004027514"," 0.0779302711","-0.0389721857"," 0.0116308532"," 0.1117365871"," 0.1964873051"," 0.2044011731"," 0.2327566559"," 0.0511424279"," 0.2397539164"," 0.1973529532"," 0.2603374167"," 0.0429742573"," 0.2582297780"," 0.0713015459"," 0.0499380892"," 0.0090676114"," 0.0815780352"," 0.2590762075"," 0.0836047436","-0.0577604885"," 0.8660632017"," 0.4607462038"," 0.0327259804"," 0.1398149823"," 0.0856805600","-0.0305079587","-7.1529440920"," 0.2332650877"," 0.1628338910"
"Bin.6.90","-0.089207001","-0.114348426"," 0.081893075"," 0.002444979","-0.007446293","-0.055409207","-0.092264787","-0.183958623"," 0.216861133"," 0.251494473","-0.515041937"," 0.069481400","-0.018215401"," 0.399218847","-0.064618954"," 0.278301379"," 0.172154442"," 0.151519184","-0.398027901","-0.300873916","-0.401556445","-0.002410038","-0.029676436"," 0.017012266"," 0.248286637","-0.389475595"," 0.096180889"," 0.222992122","-0.223887130","-0.079381372"," 0.574479017"," 0.099845732","-0.047485321"," 0.133964497","-0.150965715","-0.222071865","-0.311036994"," 0.475001396"," 0.560029298","-0.242200569","-0.303372358"," 0.348091784"," 0.601858748"," 0.119111126"," 0.097370547"," 0.681222114","-0.213946423","-1.931313328"," 0.299506914"," 0.189870038"
"Bin.6.86"," 0.14645862","-0.34150554"," 0.09714880"," 0.02549178"," 0.02681066"," 0.19798679","-0.06669462","-0.01246139"," 0.50717381"," 0.10720009","-0.55349693"," 0.37887881","-0.25506243"," 0.73156378"," 0.07153603"," 0.08927489"," 0.05013827","-0.02037192","-0.18241892","-0.27071237","-0.28592596"," 0.06761635","-0.26508732"," 0.18297327"," 0.64624353","-0.34716881"," 0.10944190"," 0.18955219","-0.23020436","-0.04883742","-0.17468538"," 0.01572325"," 0.02420631"," 0.04765122","-0.19013601","-0.18209877","-0.23534050"," 0.88035462"," 0.62966427","-0.16599119"," 0.05041346","-0.49423652"," 0.54667871","-0.11949111","-0.01869528"," 0.85719066","-0.08423545","-2.18559018"," 0.06541902","-0.01234270"
"Bin.6.82"," 0.097534561","-0.494273941","-0.043271342","-0.368706750"," 0.034479500"," 0.053280495","-0.393039617","-0.449485485"," 0.256176164"," 0.025402458","-0.944964031"," 0.270902647","-0.654263114"," 0.490774506"," 0.039613852"," 0.025753992","-0.301001381"," 0.006753469","-0.490123219","-0.615633539","-0.191541831","-0.196473689","-0.439975630"," 0.023342503","-0.232658813","-0.194221075"," 0.205697335"," 0.754911146","-0.147348645"," 0.333911953","-0.031350173"," 0.179405906","-0.062488926"," 0.439349756"," 0.023195087","-0.200532289","-0.259493225"," 0.136978521"," 1.021903887"," 0.017300354"," 0.478981389","-0.409862067"," 1.166480182"," 0.155648909"," 0.338674413"," 0.245251864","-0.200536593","-0.502705988"," 0.571004996"," 0.431241517"
"Bin.6.78"," 0.220612105"," 0.049007789"," 0.080228523","-0.017857354"," 0.189069142"," 0.061197265"," 0.071515749","-0.035839677"," 0.257989129"," 0.185510459","-0.227657127"," 0.324044607","-0.102443753"," 0.135889726"," 0.128293704"," 0.181623408"," 0.053769323"," 0.034022517"," 0.072428744","-0.056888655"," 0.152003053"," 0.082261464","-0.005403588"," 0.139758616"," 0.062847507","-0.030870000"," 0.172726910"," 0.322957750"," 0.136359632"," 0.329900245"," 0.320978561"," 0.169604049"," 0.208631284"," 0.304294104"," 0.180436291"," 0.081025898"," 0.098612700"," 0.246143441"," 0.201074808"," 0.141974744"," 0.279077160","-0.240153879"," 0.520963905"," 0.172743022"," 0.371624751"," 0.295276461"," 0.143181708","-7.258030973"," 0.377926372"," 0.417558376"
"Bin.6.74"," 0.27920491"," 0.01307105"," 0.09959091","-0.04498600"," 0.24541801"," 0.08409443"," 0.09308567","-0.08097534"," 0.10840624"," 0.22014495","-0.37590435"," 0.29354658","-0.21228240"," 0.19994946","-0.26745473"," 0.13095339","-0.05626870","-0.13158353"," 0.13266064","-0.06944703"," 0.15257925"," 0.02600566","-0.05128091"," 0.13897112"," 0.05601549"," 0.06245944"," 0.13946194"," 0.42865793"," 0.18348448"," 0.45865628"," 0.25054084"," 0.25628740"," 0.27428262"," 0.40324722"," 0.13251770"," 0.10038277"," 0.17629267"," 0.29272874"," 0.27291609"," 0.21780506"," 0.30791048","-0.36502198"," 0.63558691"," 0.19213301"," 0.35152191"," 0.39707265"," 0.28000964","-7.24419111"," 0.46468719"," 0.34705534"
"Bin.6.70"," 0.142039811","-0.109579177"," 0.145209976"," 0.206748594"," 0.101467658"," 0.203275213"," 0.061159685"," 0.060732815"," 0.016887811"," 0.252394689","-0.236286145"," 0.036772756"," 0.008873044"," 0.197467386","-0.332676225"," 0.180576706"," 0.189265640","-0.019082786"," 0.024331433"," 0.044134042"," 0.013067734","-0.003679111","-0.004928521"," 0.168726469","-0.138735035"," 0.195599979"," 0.162375993"," 0.515631537"," 0.193173042"," 0.329509176"," 0.282324774"," 0.287657500","-0.013471469"," 0.372314829"," 0.089176176"," 0.138796927"," 0.104651192"," 0.322453868"," 0.480006407"," 0.250745637"," 0.220064332","-0.474685523"," 0.661189612"," 0.265445694"," 0.269063304"," 0.357306771"," 0.276860059","-7.257635095"," 0.446023240"," 0.317257575"
"Bin.6.66"," 0.187768164"," 0.245732500"," 0.202421458"," 0.101372364"," 0.218195712"," 0.211450712"," 0.047147900","-0.004042201"," 0.107453172"," 0.288173059","-0.156729360"," 0.173058553"," 0.145435145"," 0.206871616"," 0.036017300"," 0.358604540"," 0.343043616"," 0.061842444","-0.035630207"," 0.077183181"," 0.161800772"," 0.044741924"," 0.198919521"," 0.216229469"," 0.014923737"," 0.170054167"," 0.030610959"," 0.445348194"," 0.161403373"," 0.282571454"," 0.157158060"," 0.269787431","-0.939673590"," 0.313576510"," 0.050456362"," 0.100304660"," 0.065616896"," 0.231039748"," 0.621191190"," 0.165383030"," 0.041784343","-0.464777141"," 0.622775042"," 0.124038415"," 0.209486192"," 0.302356676"," 0.272064407","-7.291500635"," 0.358947565"," 0.248011604"
"Bin.6.62"," 0.32402339"," 0.24027828"," 0.37797810"," 0.16192610"," 0.28833486"," 0.31204777"," 0.22582243"," 0.08634579"," 0.17227773"," 0.34815359","-0.31545025"," 0.23373406","-0.05173970"," 0.26617131"," 0.13985232"," 0.29772389"," 0.29414792","-0.22348972"," 0.17553768"," 0.16433275"," 0.13214069"," 0.15069040"," 0.19477192"," 0.10902271"," 0.33160619"," 0.26073416"," 0.01037288"," 0.62473744"," 0.21282583"," 0.40685636"," 0.20419444"," 0.39532630","-5.09128999"," 0.52876852"," 0.03418336"," 0.14829987"," 0.17159691"," 0.36745094"," 0.43364248"," 0.36123155"," 0.20434044","-0.76113117"," 0.83395485"," 0.34499205"," 0.32811544"," 0.45710999"," 0.38102859","-6.28313625"," 0.55650846"," 0.43304639"
"Bin.6.58"," 0.27209951"," 0.32975539"," 0.62161940"," 0.24876613"," 0.31902476"," 0.31002528"," 0.26254035"," 0.28056255"," 0.32035650"," 0.25720374","-0.22895891"," 0.21191424","-0.09300830"," 0.26481554"," 0.05452684"," 0.10295044"," 0.18725931","-0.21772922"," 0.04859407"," 0.18670176"," 0.04692728"," 0.20585977"," 0.17288354"," 0.10995079"," 0.30530382"," 0.38448487"," 0.04834436"," 0.64716584"," 0.15565007"," 0.48159993"," 0.33286126"," 0.38556488","-5.38533431"," 0.44971825"," 0.01883953"," 0.20711620"," 0.14619048"," 0.42141972"," 0.30543882"," 0.37922636"," 0.39834366","-0.60329586"," 0.82050091"," 0.30335242"," 0.20768611"," 0.44203072"," 0.36529508","-6.21584202"," 0.51009604"," 0.21360212"
"Bin.6.54"," 0.308975114"," 0.213100910"," 0.406741658"," 0.288204794"," 0.362129936"," 0.328488114"," 0.334138757"," 0.266787970"," 0.090875202"," 0.189677272","-0.073075599"," 0.264956573","-0.504577765"," 0.334125990"," 0.022083390"," 0.139400255"," 0.359517728","-0.627814934"," 0.289540336"," 0.225691180"," 0.014574022"," 0.208971797"," 0.237207690"," 0.082217306"," 0.202879015"," 0.476715604","-1.191409126"," 0.770572929"," 0.097883390"," 0.569868169"," 0.424039139"," 0.428645564","-5.502603629"," 0.608202527","-0.007812691"," 0.378511719"," 0.174078206"," 0.374274423"," 0.339939655"," 0.446107551"," 0.270810036","-0.056724714"," 0.978893508"," 0.349040159"," 0.274567766"," 0.530218753"," 0.466265410","-6.022996174"," 0.595004164"," 0.263090946"
"Bin.6.50"," 0.3969542434"," 0.3089805517"," 0.4606810648"," 0.1678644040"," 0.2787226226"," 0.2542476325"," 0.2935370753","-0.0295113863"," 0.0668808077"," 0.1412875491","-0.1703697289"," 0.3617982670","-0.3116543574"," 0.2223702376"," 0.0299826059"," 0.3015172043"," 0.3743630938","-0.6062244229"," 0.3095402823"," 0.1607252238","-0.0004957967"," 0.1734488010"," 0.2828144218"," 0.1362204184"," 0.2283766112"," 0.5035149270","-5.0073072602"," 0.7147633743","-0.0135889948"," 0.4417050031"," 0.3357132705"," 0.3105131873","-5.8761725828"," 0.4485787674"," 0.0694764595"," 0.3176159400"," 0.0496236460"," 0.3332355224"," 0.2149975549"," 0.3510690337"," 0.1786775039","-0.9698997919"," 0.9477564690"," 0.2263376641"," 0.0996946792"," 0.4743810796"," 0.4572420561"," 0.9732976011"," 0.4777562046"," 0.1089612600"
"Bin.6.46"," 0.392444197"," 0.238893706"," 0.457046294"," 0.272138762"," 0.206172630"," 0.263528910"," 0.331100221"," 0.080909751"," 0.166455887"," 0.169776470","-0.289787438"," 0.233074990","-0.446421984"," 0.177590684","-0.004340299"," 0.025747137"," 0.356815291","-0.679533187"," 0.033629924"," 0.222102779"," 0.085844564"," 0.189821953"," 0.273368954","-0.677825288"," 0.216720539"," 0.558898777","-5.225063715"," 0.783288849","-0.001432766"," 0.558625703"," 0.373733604"," 0.369271688","-5.752261032"," 0.497690038"," 0.151184978"," 0.297272219"," 0.042026094"," 0.436748173"," 0.216859125"," 0.469415734"," 0.470320592","-0.888753169"," 1.000949345"," 0.398112214"," 0.143403885"," 0.523572098"," 0.532496452"," 1.047943506"," 0.497396328"," 0.203025832"
"Bin.6.42"," 0.43374739"," 0.33517959"," 0.47180952"," 0.36459325"," 0.24754510"," 0.61235201"," 0.37435291"," 0.09285800"," 0.31493341"," 0.29055755"," 0.01549077"," 0.22317673","-0.10920616"," 0.31154151"," 0.21107502"," 0.13132672"," 0.40941902","-0.04736990"," 0.16104541"," 0.34489795"," 0.18531228"," 0.27871524"," 0.34225158","-0.20005014"," 0.31684270"," 0.67100518","-4.48099090"," 0.84816611","-0.14678349"," 0.71802134"," 0.39334407"," 0.47542154","-5.10012970"," 0.52791459"," 0.22717753"," 0.42742937"," 0.14595012"," 0.52971422"," 0.30300275"," 0.51528923","-0.05030728","-0.46275443"," 0.99554147"," 0.48265261"," 0.32706465"," 0.68631029"," 0.59747814","-5.60189494"," 0.56840381"," 0.29057629"
"Bin.6.38"," 0.404113217"," 0.216490160"," 0.378346288"," 0.323825896"," 0.270234840"," 0.363910969"," 0.221604178"," 0.190913839"," 0.253771242"," 0.257085296","-0.064035424"," 0.205117231","-0.185618362"," 0.264884144"," 0.025163696"," 0.008466570"," 0.295946669","-0.281684600"," 0.054742329"," 0.245749330"," 0.053862150"," 0.223091475"," 0.211089729"," 0.135392908"," 0.290483742"," 0.564482840","-5.158865185"," 0.721991823","-0.171173252"," 0.516174674"," 0.303602270"," 0.269970085","-5.994892849"," 0.247275651"," 0.108506865"," 0.266665413"," 0.044423362"," 0.374661095","-0.002606725"," 0.351635413"," 0.328125535","-0.995850255"," 0.901018683"," 0.442634081"," 0.103924878"," 0.570398941"," 0.500223666"," 0.999962572"," 0.355853820","-0.011090915"
"Bin.6.34"," 0.46400444"," 0.36977897"," 0.33022132"," 0.37680451"," 0.37019378"," 0.44403205"," 0.36399613"," 0.29952422"," 0.33118079"," 0.34559937"," 0.05587042"," 0.18428233","-0.31027783"," 0.21458462"," 0.08469995","-0.39112891"," 0.41656770","-0.21953182"," 0.03992296"," 0.33545130"," 0.16527560"," 0.25817417"," 0.34388276"," 0.11800234"," 0.26770019"," 0.78219500","-4.38194658"," 0.86647800"," 0.08729769"," 0.58210315"," 0.51869578"," 0.42769687","-5.20416101"," 0.43497529"," 0.30927471"," 0.50473250"," 0.20814067"," 0.50781774"," 0.30954153"," 0.53518818"," 0.37297457","-0.34697390"," 1.01577268"," 0.56493543"," 0.19905751"," 0.80588708"," 0.65544227","-5.63805954"," 0.44803485"," 0.17608817"
"Bin.6.30"," 0.48100929"," 0.38166127"," 0.27753488"," 0.41201657"," 0.37257879"," 0.60340091"," 0.34262230"," 0.27054269"," 0.35466257"," 0.33455906"," 0.08366145"," 0.18462205","-0.36277989"," 0.21357123"," 0.10959468","-0.69251527"," 0.44022395","-0.04544617","-0.01023037"," 0.31052107"," 0.19856958"," 0.17443782"," 0.30748637","-0.07954840"," 0.21965032"," 0.54850759","-4.88043978"," 0.66744702","-0.12670900"," 0.36995876"," 0.27151594"," 0.23554622","-5.82842387"," 0.24964240"," 0.06062238"," 0.26350872","-0.10982529"," 0.51217803"," 0.14428814"," 0.52805537"," 0.17612920","-0.90239343"," 0.85580150"," 0.26568565","-0.04479303"," 0.50023042"," 0.43378289"," 0.91760263"," 0.15645555","-0.14678073"
"Bin.4.38"," 0.719030245"," 0.188340562"," 0.448379557","-0.373375417"," 0.186252140","-0.276620460"," 0.072818609","-0.434787755"," 0.163833506","-0.394570729"," 0.062825567"," 0.113377818","-0.141532621"," 0.064458127"," 0.346056134"," 0.287285000"," 0.421566072"," 0.414322600","-0.103814807"," 0.256868779","-0.001788319"," 0.031899928"," 0.038786914"," 0.953556202","-0.149371234","-0.228372035","-0.654958047"," 0.350246476","-0.077862561","-0.803782023"," 0.004987144","-0.366907454"," 0.078689592","-0.565498575","-0.270047623","-0.503830391","-0.314864808","-0.821257587","-0.215777603","-0.082017052","-0.315652196"," 0.185377853","-0.687526201"," 1.391140958","-0.031796208"," 0.254463485"," 0.354943790"," 0.685072151","-0.097184568","-0.161382932"
"Bin.4.34"," 0.44374721","-0.12798960"," 0.86574971","-0.51395624","-0.16871015","-0.57138208","-0.19042473","-0.75575619"," 0.03067981","-0.51258111","-0.19771384","-0.21717376","-0.38005889","-0.24724071","-0.04271880","-0.07676731"," 0.07096923","-0.25582864"," 0.78802664","-0.13794804","-0.32425803","-0.34527066","-0.22138299","-1.17303135","-0.29919773"," 0.19452379","-0.11979835"," 0.64436750"," 0.38341719","-0.25075569"," 0.98868712"," 0.09686762"," 0.36790435","-0.27412865"," 0.22545343","-0.20046709"," 0.10986428","-0.18732056"," 0.21598289"," 0.25368832"," 0.02365271"," 0.28217534","-1.14897880"," 0.85568039"," 0.30311095"," 0.19501126"," 0.18488450"," 0.87323516"," 0.30838953"," 0.23477106"
"Bin.4.30"," 2.414035e-01"," 2.081232e-02","-1.580786e-02","-3.474639e-01"," 2.292251e-01","-3.107933e-01"," 7.990790e-03","-3.048699e-01"," 5.817595e-02","-3.232554e-01","-1.008237e-01","-9.449136e-02","-2.154697e-01","-8.744543e-02"," 1.144776e-02","-1.563566e-01"," 3.159136e-01","-8.541802e-02","-1.772025e-01","-3.867048e-02","-2.049078e-01","-1.101018e-01","-1.724697e-01","-2.440362e+00","-2.336070e-01"," 2.997196e-01"," 1.145475e-01"," 6.088667e-01"," 3.029773e-01","-1.146103e-01"," 1.787845e-01"," 3.145651e-01"," 3.008646e-01","-2.444220e-01"," 2.425779e-01","-5.882335e-03"," 1.149899e-01"," 4.383979e-05"," 4.312000e-01"," 4.259647e-01"," 1.499085e-01"," 6.071552e-03","-3.298718e-01"," 3.053536e-01"," 3.581207e-01"," 9.938044e-02"," 9.802795e-02"," 3.474322e-01"," 3.187576e-01"," 2.111801e-01"
"Bin.4.26"," 0.29828834","-0.05684734"," 0.07169555","-0.52159080"," 0.23716066","-0.36082859","-0.05116583","-0.56032572","-0.13349244","-0.45782563","-0.13308026","-0.06759885","-0.36321472","-0.30832276","-0.08811584","-0.15367390"," 0.18034015"," 0.05306707","-0.33805540","-0.14784967","-0.42356666","-0.11913049","-0.26362025","-1.31453629","-0.32259262"," 0.44748487"," 0.01374721"," 0.78509244"," 0.31381761","-0.20117601"," 0.29505153"," 0.29213031"," 0.58502723","-0.21585968"," 0.27331133"," 0.08084924"," 0.30764392"," 0.07672962"," 0.45667876"," 0.45213214"," 0.17454039"," 0.28347951","-0.04609552"," 0.01379385"," 0.42187849","-0.16725431"," 0.10351144","-0.22455740"," 0.60324660"," 0.21967871"
"Bin.4.22"," 0.455453341"," 0.006949328","-0.019270837","-0.576361114"," 0.070422306","-0.566161513","-0.071928713","-0.477967267","-0.094816363","-0.432124135","-0.230682675"," 0.045565470","-0.425289101","-0.342675920","-0.224409282","-0.218186322"," 0.053520704","-0.287302677","-0.099164587","-0.148633822","-0.425230919","-0.196138962","-0.291256271","-0.371403530","-0.417341753"," 0.151292320","-0.090379901"," 0.587303650"," 0.189286192"," 0.015722346"," 1.388323802"," 0.256775972"," 0.402525954","-0.245569972"," 0.282152334","-0.019972955"," 0.160445025","-0.034120271"," 0.654432243"," 0.236178718"," 0.346697821","-0.059360851","-0.326543074","-0.247077611"," 0.478580318"," 0.069410687","-0.056655204"," 0.548297239"," 0.271280860"," 0.325408973"
"Bin.4.18"," 0.214002765"," 0.083744081","-0.054652669","-0.547100433"," 0.120652766","-0.481064920"," 0.118555483","-0.107177957"," 0.199179564","-0.130402165","-0.125349235"," 0.375221507","-0.353690603","-0.340948115","-0.161206180","-0.185074250","-0.006444249","-0.225911361"," 0.182751457","-0.122452844","-0.214466550","-0.113128148","-0.273962685","-0.532548735","-0.279746960"," 0.183942217","-0.196226682"," 0.260613757"," 0.191812249"," 0.352187312","-0.130025713","-0.248546543"," 0.415704704","-0.097397719"," 0.304978608"," 0.105288763"," 0.325159151"," 0.222711702"," 0.369385581"," 0.067892833"," 0.573627791"," 0.626481610","-0.660183198","-0.484450659"," 0.432187508"," 0.291030893"," 0.167993574","-0.062858818","-0.061321118"," 0.011232634"
"Bin.4.14","-0.22247367"," 0.01530313"," 0.08125397","-0.25434762","-0.32968013","-0.27150117","-0.07172105"," 0.04663953","-0.05762935","-0.30347981"," 0.10116626","-0.11891097","-0.17159605","-0.22790822","-0.10905122","-0.37597431"," 0.29887721","-0.20947160"," 0.10220875"," 0.05157281","-0.32850955"," 0.02228956","-0.28604797","-1.32882816","-0.15168571"," 0.67176920","-0.10026070"," 0.38419299"," 0.19313697"," 0.02196151","-0.12889335"," 0.03516184"," 0.27738237","-0.26000990"," 0.17733880"," 0.17863107"," 0.25392393"," 0.16767642"," 0.46511264"," 0.49187137"," 0.17882399"," 0.69200166","-0.17109044"," 0.28005087"," 0.26092045","-0.25095603","-0.09946527"," 0.16640772"," 0.18515977"," 0.02865746"
"Bin.4.10"," 0.293020527","-0.004746348"," 0.018209966","-0.097348497","-0.301920735","-0.157242199","-0.009952291"," 0.042972330","-0.006216540","-0.380189732"," 0.033968264","-0.114645033"," 0.093503637"," 0.003897189","-0.076178607","-0.237560348"," 0.336195191","-0.225306847"," 0.132251981","-0.071717817","-0.293584067"," 0.026014020","-0.194325844","-2.372116500"," 0.075741641"," 0.410190709"," 0.201165292"," 0.231590930"," 0.122067202","-0.141988894","-0.016961506"," 0.172521656","-0.037809170","-0.518355742"," 0.132940355"," 0.124498093"," 0.050460591"," 0.095065477"," 0.287151598"," 0.342196361"," 0.111772527"," 0.014993856","-0.037121696"," 0.644597999"," 0.260143625","-0.154024474","-0.161180289"," 0.939244092"," 0.158376294"," 0.255741776"
"Bin.4.06"," 0.0895004813"," 0.3022661772","-0.0279984047"," 0.1938910605","-0.1317274004"," 0.1263990625"," 0.1998858985"," 0.3028506928"," 0.2236485185"," 0.1474762025"," 0.2105053173","-0.3192060526"," 0.2755588726","-0.0275633774"," 0.1583074444","-0.0865220922"," 0.1598646998","-0.0615602333","-0.0823862362"," 0.3530122231"," 0.2612409744"," 0.3485287192"," 0.3848266252","-0.1532289825","-0.1822851443"," 0.0052764892","-0.0477707345"," 0.1395541260","-0.0489721082","-0.0554417014","-0.0063579898","-0.0931067033","-0.4049491889"," 0.0478031856"," 0.1890924707","-0.1222447650","-0.2317959747"," 0.0870812147","-0.1453504083","-0.0880632814"," 0.0636473228","-1.6460691222","-0.4033720360"," 0.2082856849","-0.1038962620","-0.1177898113"," 0.3366047945","-0.0008967364","-0.5540596333"," 0.3275061218"
"Bin.4.02"," 0.336027039"," 0.051437802"," 0.169706663","-0.198433366","-0.320429703","-0.311088372","-0.008772855","-0.047737487"," 0.077435516","-0.026578535","-0.016702229","-0.060276857"," 0.130623334","-0.027063928","-0.111940914","-0.005952730"," 0.161737999","-0.149304654"," 0.018010194"," 0.060400510"," 0.028024147"," 0.271128484","-0.020041803","-1.074860125"," 0.415755767","-0.456411732","-0.155202522","-0.063719396"," 0.097250841"," 0.044977708","-0.167959901","-0.008804351","-0.175186594","-0.118467712","-0.162413089","-0.139306497","-0.012742837","-0.134019948"," 0.169612050"," 0.104644891","-0.069333041","-0.660693599"," 0.966780911"," 0.060376499"," 0.138433673"," 0.272849997"," 0.284167317"," 0.885705749","-0.200208615"," 0.158566299"
